Wall time,Step,Value
1708525021.450404,524,0.20604190230369568
1708525170.1227934,1048,0.1673276722431183
1708525314.8439786,1572,0.16917170584201813
1708525459.5441523,2096,0.16139720380306244
1708525604.745793,2620,0.17505665123462677
1708525742.197789,3144,0.1926673948764801
1708525889.83646,3668,0.19647493958473206
1708526031.4728234,4192,0.20233795046806335
1708526168.9744332,4716,0.2096240520477295
1708526309.5152035,5240,0.21232236921787262
1708526452.8671103,5764,0.22288477420806885
1708526595.419311,6288,0.22739194333553314
1708526733.774489,6812,0.23601502180099487
1708526872.0974276,7336,0.24008356034755707
1708527012.9847422,7860,0.24336811900138855
